Extractor,Measure,Model,Gaussian filter,Other filter,ROC_AUC,AUC_PR,Max. f1,FPR at TPR=0.9,FPR at TPR=0.95,FPR at TPR=0.99,FPR at TPR=0.995,FPR at TPR=0.999,FPR at TPR=0.9999
C3D,per frame (stop),SpatialBin/SVG/0.20,,,0.9939209726443768,0.977231437405387,0.9655172413793104,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
C3D,per frame (stop),BalancedDistributionSVG/500/27/0.30,,,0.9988601823708206,0.9962788659525113,0.9655172413793104,0.0,0.010638297872340425,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
C3D,per frame (stop),SpatialBin/SVG/simple_0.50,,,0.9958206686930091,0.9844656665807235,0.9642857142857143,0.010638297872340425,0.010638297872340425,0.031914893617021274,0.031914893617021274,0.031914893617021274,0.031914893617021274
C3D,per frame (stop),SVG,,,0.9939209726443768,0.9846791815196386,0.9473684210526316,0.0,0.02127659574468085,0.13829787234042554,0.13829787234042554,0.13829787234042554,0.13829787234042554
C3D,per frame (stop),SpatialBin/SVG/0.50,,,0.9916413373860182,0.9706425525167752,0.9333333333333333,0.02127659574468085,0.031914893617021274,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617
C3D,per frame (stop),SpatialBin/SVG/simple_0.20,,,0.9992401215805471,0.9975779967159277,0.9818181818181818,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
C3D,per frame (stop),SpatialBin/SVG/0.20,"(1, 0, 0)",,0.9422492401215806,0.7387456998833131,0.819672131147541,0.0851063829787234,0.1702127659574468,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766
C3D,per frame (stop),BalancedDistributionSVG/500/27/0.30,"(1, 0, 0)",,0.972644376899696,0.9287308747605043,0.8846153846153847,0.11702127659574468,0.1702127659574468,0.20212765957446807,0.20212765957446807,0.20212765957446807,0.20212765957446807
C3D,per frame (stop),SpatialBin/SVG/simple_0.50,"(1, 0, 0)",,0.9487082066869301,0.7442456426402149,0.8387096774193549,0.07446808510638298,0.10638297872340426,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766
C3D,per frame (stop),SVG,"(1, 0, 0)",,0.9627659574468085,0.9004243025865873,0.8461538461538461,0.1276595744680851,0.19148936170212766,0.26595744680851063,0.26595744680851063,0.26595744680851063,0.26595744680851063
C3D,per frame (stop),SpatialBin/SVG/0.50,"(1, 0, 0)",,0.9407294832826748,0.7365952705559689,0.806451612903226,0.09574468085106383,0.1595744680851064,0.2127659574468085,0.2127659574468085,0.2127659574468085,0.2127659574468085
C3D,per frame (stop),SpatialBin/SVG/simple_0.20,"(1, 0, 0)",,0.9547872340425532,0.7584491582881484,0.8709677419354839,0.06382978723404255,0.07446808510638298,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.14893617021276595
C3D,per frame (stop),SpatialBin/SVG/0.20,"(2, 0, 0)",,0.8898176291793314,0.5810246925259934,0.7575757575757577,0.13829787234042554,0.20212765957446807,0.3617021276595745,0.3617021276595745,0.3617021276595745,0.3617021276595745
C3D,per frame (stop),BalancedDistributionSVG/500/27/0.30,"(2, 0, 0)",,0.9308510638297873,0.833576134433195,0.7857142857142857,0.1702127659574468,0.39361702127659576,0.425531914893617,0.425531914893617,0.425531914893617,0.425531914893617
