Extractor,Measure,Model,Gaussian filter,Other filter,ROC_AUC,AUC_PR,Max. f1,FPR at TPR=0.9,FPR at TPR=0.95,FPR at TPR=0.99,FPR at TPR=0.995,FPR at TPR=0.999,FPR at TPR=0.9999
C3D,per patch,SpatialBin/SVG/0.20,,,0.9170299829678747,0.3462379569558997,0.4595676541232986,0.185513588208199,0.3012436665131276,0.7997466605251037,0.8182865039152464,0.9835329341317365,0.9835329341317365
C3D,per patch,BalancedDistributionSVG/500/27/0.30,,,0.8825846518055124,0.3833927657510958,0.4496439471007121,0.3400506678949793,0.6125057577153386,0.9349378166743436,0.9590050667894979,0.9861814831874712,0.9861814831874712
C3D,per patch,SpatialBin/SVG/simple_0.50,,,0.919877106252611,0.36883919223132,0.44366812227074237,0.18908337171810224,0.3146015660985721,0.6070935052970982,0.8215108245048365,1.0,1.0
C3D,per patch,SVG,,,0.8903647981318221,0.36650455551974204,0.44166666666666676,0.29018885306310455,0.5018424689083372,0.8984339014279134,0.9160525103638876,0.9333256563795486,0.9333256563795486
C3D,per patch,SpatialBin/SVG/0.50,,,0.9151693036110249,0.3480902388733841,0.4523246650906226,0.18482266236757255,0.3119530170428374,0.7954859511745739,0.8346384154767388,0.978005527406725,0.978005527406725
C3D,per patch,SpatialBin/SVG/simple_0.20,,,0.9096167236189516,0.3520301519026314,0.43044189852700493,0.19760479041916168,0.3227775218793183,0.9773146015660986,1.0,1.0,1.0
C3D,per patch,SpatialBin/SVG/0.20,"(1, 1, 1)",,0.8989057662849615,0.26944692327389913,0.384297520661157,0.20624136342699217,0.3433901427913404,0.70923537540304,0.7245508982035929,0.9511745739290649,0.9511745739290649
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(1, 1, 1)",,0.8836320203957024,0.40282999173797607,0.4335154826958106,0.30700138185168124,0.5332795946568402,0.9510594196222939,0.9585444495624136,0.993666513127591,0.993666513127591
C3D,per patch,SpatialBin/SVG/simple_0.50,"(1, 1, 1)",,0.9080329501997793,0.28062870437551973,0.4105263157894737,0.20923537540304007,0.32162597881160754,0.6213726393367112,0.6723859972362967,0.8021649009672962,0.8021649009672962
C3D,per patch,SVG,"(1, 1, 1)",,0.886573811232633,0.36538716406299865,0.42585551330798477,0.28281897742975587,0.44725932749884845,0.8998157531091663,0.9067250115154307,0.9653385536619069,0.9653385536619069
C3D,per patch,SpatialBin/SVG/0.50,"(1, 1, 1)",,0.8948343920388204,0.27225180822962913,0.37449664429530205,0.21764163979732842,0.3709120221096269,0.6845923537540304,0.7356057116536159,0.9541685859051129,0.9541685859051129
C3D,per patch,SpatialBin/SVG/simple_0.20,"(1, 1, 1)",,0.9057861022141763,0.281244074656795,0.3992297817715019,0.22132657761400276,0.3203592814371258,0.6416397973284201,0.7053201289728236,0.7957162597881161,0.7957162597881161
C3D,per patch,SpatialBin/SVG/0.20,"(2, 2, 2)",,0.8426796674986341,0.1762557099360281,0.27108433734939763,0.309765085214187,0.4752418240442193,0.8550207277752188,0.8750575771533855,0.9029249193919853,0.9029249193919853
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(2, 2, 2)",,0.8552976337128961,0.3193269695934827,0.39422084623323017,0.39993090741593734,0.7273146015660986,0.9603869184707509,0.9640718562874252,0.9672961768770152,0.9672961768770152
C3D,per patch,SpatialBin/SVG/simple_0.50,"(2, 2, 2)",,0.8443590457724981,0.17001772034928242,0.28638941398865786,0.31229847996315063,0.4736296637494242,0.7334177798249655,0.7633578995854445,0.8520267157991709,0.8520267157991709
C3D,per patch,SVG,"(2, 2, 2)",,0.8572016967853202,0.3037439659420207,0.37621621621621615,0.3725241824044219,0.6233302625518194,0.8959005066789498,0.9109857208659604,0.9233072316904652,0.9233072316904652
C3D,per patch,SpatialBin/SVG/0.50,"(2, 2, 2)",,0.8401130654612062,0.1795684088021736,0.27466666666666667,0.3215108245048365,0.4632657761400276,0.8604329801934593,0.8767848917549517,0.8811607554122525,0.8811607554122525
C3D,per patch,SpatialBin/SVG/simple_0.20,"(2, 2, 2)",,0.842907833706469,0.17581226623840668,0.2857142857142857,0.34396591432519574,0.4600414555504376,0.7338783970520497,0.7645094426531552,0.8747121142330723,0.8747121142330723
C3D,per patch,SpatialBin/SVG/0.20,"(0, 1, 1)",,0.9121206602894391,0.32877375736684156,0.43116490166414523,0.15891294334408107,0.33578995854444954,0.7939889451865499,0.886803316444035,0.9033855366190695,0.9033855366190695
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(0, 1, 1)",,0.9012243848617613,0.44075233553889004,0.47609147609147606,0.2366421004145555,0.5400736987563335,0.9105251036388761,0.9572777521879319,0.9851450944265315,0.9851450944265315
C3D,per patch,SpatialBin/SVG/simple_0.50,"(0, 1, 1)",,0.9208697095969063,0.3406969550352461,0.46840148698884754,0.16593735605711654,0.3055043758636573,0.7095808383233533,0.7873099953938277,0.8724090280976509,0.8724090280976509
C3D,per patch,SVG,"(0, 1, 1)",,0.9028777864664231,0.4098986752397543,0.4722719141323793,0.24424228466144635,0.43620451404882543,0.8257715338553662,0.9093735605711654,0.9332105020727776,0.9332105020727776
C3D,per patch,SpatialBin/SVG/0.50,"(0, 1, 1)",,0.90923537540304,0.3295608298509411,0.4169230769230769,0.16847075080608015,0.3508751727314602,0.7616305849838784,0.8767848917549517,0.8979732842008291,0.8979732842008291
C3D,per patch,SpatialBin/SVG/simple_0.20,"(0, 1, 1)",,0.9180827075723331,0.3360012851442208,0.4510948905109489,0.18102257024412713,0.2953707968678029,0.6895439889451865,0.8112620912022109,0.8904882542607093,0.8904882542607093
C3D,per patch,SpatialBin/SVG/0.20,"(0, 2, 2)",,0.8804486733152654,0.26610025256402825,0.3543505674653216,0.2250115154306771,0.49930907415937353,0.8198986642100414,0.8674573929064947,0.9573929064947029,0.9573929064947029
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(0, 2, 2)",,0.8998473535933499,0.4251822230403498,0.4731182795698925,0.20635651773376323,0.650852141870106,0.897858129894058,0.9326347305389222,0.9342468908337171,0.9342468908337171
